name,code,category,unit,mrp_price,selling_price,gst_rate,cess_rate,reorder_level,danger_level,min_stock,max_stock,tags,composition,hsn_code,hsn_id,schedule,manufacturer
Mebendazole 701ml,MED47605,Antihypertensive,Injection,166.31,141.53,28,0,179,36,418,1452,"essential,prescription",Mebendazole 250mg + Excipients,30041000,1968,C,Cipla
Lopinavir 174,MED45886,Mineral,Ointment,384.58,317.68,28,1,57,22,323,1045,"generic,prescription",Lopinavir 20mg + Excipients,30039000,9855,H1,Sanofi India
Zalcitabine 506ml,MED67298,Supplement,Tablet,116.96,98.74,5,0,96,28,131,3904,"prescription,essential",Zalcitabine 10mg + Excipients,30044000,2125,X,Sun Pharma
Lumefantrine 782ml,MED12261,Antihypertensive,Cream,282.17,251.99,5,0,52,13,187,4424,"otc,essential,prescription",Lumefantrine 500mg + Excipients,30042000,8871,X,Cadila
Alprazolam 113ml,MED20927,Bronchodilator,Drops,452.64,405.91,18,0,127,24,405,3697,"otc,essential",Alprazolam 500mg + Excipients,30049000,9010,H,Torrent
Ledipasvir 113ml,MED15906,Antidepressant,Inhaler,181.52,157.87,18,0,136,15,314,4412,generic,Ledipasvir 10mg + Excipients,30041000,2771,X,Sanofi India
Vitamin D 268mg,MED66162,Analgesic,Drops,264.19,214.64,5,0,63,18,415,3918,prescription,Vitamin 5mg + Excipients,30041000,9678,C,Dr. Reddys
Domperidone 381mg,MED72984,Nasal,Drops,302.76,243.78,12,0,172,38,209,3932,essential,Domperidone 10mg + Excipients,30033900,3595,X,Lupin
Alprazolam 222mg,MED73769,Anxiolytic,Patch,278.75,238.81,28,0,83,46,165,2775,otc,Alprazolam 20mg + Excipients,30043100,6937,None,Lupin
Naproxen 980,MED65247,Antifungal,Ointment,18.47,16.09,5,0,200,34,230,3093,"essential,otc,generic",Naproxen 500mg + Excipients,30039000,6706,H,Lupin
Adefovir 441ml,MED27439,Vitamin,Ointment,241.21,216.54,5,0,119,42,133,1565,"branded,prescription",Adefovir 20mg + Excipients,30032000,2346,H,Merck India
Diclofenac 723,MED13029,Mineral,Drops,148.93,128.78,12,0,79,20,391,4178,"essential,generic,branded",Diclofenac 500mg + Excipients,30044000,7776,X,Merck India
Cabotegravir 956,MED23190,Antidiabetic,Capsule,370.4,314.55,5,0,180,27,436,2661,prescription,Cabotegravir 500mg + Excipients,30043900,2262,C,Dr. Reddys
Albendazole 163mg,MED38731,Supplement,Ointment,266.42,245.41,12,0,139,21,299,4126,branded,Albendazole 5mg + Excipients,30042000,8553,H,Dr. Reddys
Atazanavir 588mg,MED15443,Laxative,Inhaler,199.27,184.46,12,0,93,22,346,1216,"generic,otc,prescription",Atazanavir 5mg + Excipients,30043100,6650,C,Merck India
Paracetamol 467mg,MED14712,Steroid,Patch,401.1,346.42,5,0,61,32,177,1735,"branded,otc,prescription",Paracetamol 20mg + Excipients,30043100,4959,C,Aurobindo
Hydrocortisone 883,MED32695,Antiviral,Tablet,365.26,302.99,12,0,80,35,105,1420,"prescription,essential,branded",Hydrocortisone 500mg + Excipients,30041000,6211,H1,Cadila
Didanosine 574ml,MED86096,Supplement,Ointment,288.33,247.26,12,0,165,24,162,2391,"branded,essential,generic",Didanosine 10mg + Excipients,30041000,4635,None,Pfizer India
Dexamethasone 130mg,MED98072,Antifungal,Capsule,381.19,308.22,5,0,107,13,130,3666,"essential,otc",Dexamethasone 10mg + Excipients,30034000,8816,H1,Novartis India
Cabotegravir 214mg,MED40831,Ophthalmic,Patch,103.53,90.26,5,0,50,47,107,4782,otc,Cabotegravir 100mg + Excipients,30043100,7721,H,Cipla
Daclatasvir 999mg,MED69261,Antibiotic,Gel,474.42,436.74,28,2,71,42,453,2607,generic,Daclatasvir 10mg + Excipients,30042000,3541,None,Novartis India
Hydrocortisone 795mg,MED47646,Otic,Tablet,80.32,68.95,18,0,127,27,455,4973,"generic,essential,prescription",Hydrocortisone 20mg + Excipients,30044000,1504,None,Cadila
Raltegravir 332mg,MED59953,Antidiabetic,Inhaler,352.14,296.1,5,0,128,19,112,2052,"generic,essential",Raltegravir 20mg + Excipients,30043900,4740,None,Johnson & Johnson India
Famciclovir 175ml,MED70811,Antiparasitic,Inhaler,136.74,123.64,18,0,144,31,144,2048,"essential,branded,generic",Famciclovir 5mg + Excipients,30041000,3881,C,Abbott India
Cetirizine 409mg,MED12066,Sedative,Injection,64.2,52.11,18,0,176,20,495,2025,prescription,Cetirizine 250mg + Excipients,30049000,6177,H1,Aurobindo
Telbivudine 460ml,MED55466,Antihypertensive,Ointment,119.35,107.5,28,2,95,40,206,2316,"branded,generic",Telbivudine 20mg + Excipients,30034000,6699,None,Novartis India
Chloroquine 285,MED88625,Bronchodilator,Inhaler,379.46,329.13,28,1,166,48,469,1427,"prescription,essential",Chloroquine 100mg + Excipients,30034000,6922,C,Mankind
Acyclovir 708,MED15899,Steroid,Patch,176.75,162.61,18,0,119,34,487,1856,"essential,branded,generic",Acyclovir 5mg + Excipients,30032000,4427,None,Mankind
Pibrentasvir 420ml,MED82982,Mineral,Patch,316.7,294.79,28,1,184,49,171,2727,"generic,essential,otc",Pibrentasvir 20mg + Excipients,30049000,7035,H1,Sanofi India
Dexamethasone 531mg,MED62985,Antidiabetic,Injection,66.66,54.92,28,1,68,26,454,1794,"branded,essential",Dexamethasone 500mg + Excipients,30041000,7152,X,Eli Lilly India
Atorvastatin 712ml,MED59448,Antiparasitic,Syrup,46.71,40.29,28,0,197,46,147,2553,branded,Atorvastatin 10mg + Excipients,30032000,8497,H,Abbott India
Emtricitabine 174mg,MED39120,Antihypertensive,Patch,290.0,237.31,28,1,123,33,414,2169,"branded,prescription",Emtricitabine 500mg + Excipients,30041000,4693,C,Novartis India
Zanamivir 991mg,MED79475,Anxiolytic,Cream,437.36,408.82,28,2,117,48,165,3143,"branded,generic",Zanamivir 10mg + Excipients,30049000,7690,None,Abbott India
Nevirapine 601,MED29253,Antiemetic,Ointment,237.43,212.4,18,0,159,23,230,3825,"essential,otc,prescription",Nevirapine 250mg + Excipients,30043100,3623,None,Johnson & Johnson India
Antifungal Cream 898,MED16428,Otic,Ointment,332.75,310.9,5,0,164,22,197,3290,"branded,essential",Antifungal 20mg + Excipients,30044000,8957,X,Torrent
Sulfadoxine 826mg,MED21280,Vitamin,Gel,212.44,197.07,28,0,120,30,119,1163,"essential,otc,prescription",Sulfadoxine 100mg + Excipients,30039000,5903,X,Novartis India
Telbivudine 678ml,MED94837,Anxiolytic,Ointment,248.7,209.06,12,0,124,44,107,1799,"essential,branded,prescription",Telbivudine 20mg + Excipients,30033100,5320,H1,Mankind
Calcium 124mg,MED32484,Mineral,Capsule,496.92,428.27,12,0,87,12,163,2158,"essential,prescription",Calcium 250mg + Excipients,30033100,2540,H,Cipla
Salbutamol 981ml,MED42345,Antiparasitic,Syrup,350.36,330.82,5,0,136,22,494,2881,branded,Salbutamol 20mg + Excipients,30041000,6881,X,Alkem
Ribavirin 110mg,MED98704,Antidiabetic,Injection,204.13,172.24,28,0,68,13,120,1796,essential,Ribavirin 500mg + Excipients,30042000,7950,C,Sanofi India
Abacavir 118mg,MED10608,Anxiolytic,Drops,86.88,72.61,18,0,176,35,319,4968,"branded,generic",Abacavir 250mg + Excipients,30034000,8894,H,Lupin
Hydroxychloroquine 179mg,MED41629,Antimalarial,Syrup,165.29,132.7,5,0,57,24,251,4811,generic,Hydroxychloroquine 20mg + Excipients,30032000,5460,None,Sun Pharma
Montelukast 941ml,MED26565,Vitamin,Patch,282.89,227.59,18,0,75,23,404,4956,"essential,generic,branded",Montelukast 100mg + Excipients,30044000,3428,None,AstraZeneca India
Emtricitabine 776mg,MED90248,Steroid,Patch,301.39,264.31,12,0,173,14,358,2621,"otc,prescription",Emtricitabine 100mg + Excipients,30034000,2595,None,Mankind
Lamivudine 530mg,MED49733,Laxative,Tablet,166.48,148.08,28,2,109,23,259,2933,essential,Lamivudine 250mg + Excipients,30032000,6564,C,Cipla
Budesonide 848mg,MED70458,Mineral,Gel,107.75,90.59,18,0,155,48,482,4011,"branded,essential",Budesonide 500mg + Excipients,30041000,8491,H1,Dr. Reddys
Doxycycline 575ml,MED93986,Antibiotic,Patch,348.51,309.71,28,2,52,36,374,3333,"essential,otc",Doxycycline 10mg + Excipients,30041000,1909,H,AstraZeneca India
Lorazepam 461mg,MED66804,Antiemetic,Drops,172.68,161.74,12,0,185,41,399,4504,"prescription,otc",Lorazepam 100mg + Excipients,30033100,5809,H,Pfizer India
Pantoprazole 392mg,MED15439,Sedative,Tablet,301.48,285.75,18,0,141,47,147,4642,otc,Pantoprazole 10mg + Excipients,30043100,4494,C,AstraZeneca India
Ivermectin 482ml,MED36969,Antacid,Syrup,408.71,364.64,12,0,97,50,289,1560,"branded,otc,prescription",Ivermectin 500mg + Excipients,30039000,7000,H,GSK India
Clarithromycin 377,MED86943,Antihistamine,Injection,498.79,453.97,18,0,144,22,146,1974,"generic,essential",Clarithromycin 10mg + Excipients,30043900,4278,None,Merck India
Cetirizine 450mg,MED32420,Supplement,Ointment,85.7,71.53,5,0,138,18,119,2119,"prescription,otc,generic",Cetirizine 10mg + Excipients,30042000,4022,H1,Mankind
Ivermectin 902ml,MED40609,Supplement,Capsule,201.8,190.57,18,0,69,14,493,4377,"otc,essential,branded",Ivermectin 10mg + Excipients,30043900,4481,H1,AstraZeneca India
Cough Syrup 717ml,MED57607,Antiviral,Capsule,346.0,304.45,28,2,90,22,478,2864,"otc,essential",Cough 10mg + Excipients,30042000,4911,C,Mankind
Oseltamivir 476mg,MED83935,Antidiabetic,Ointment,74.49,68.99,12,0,73,13,135,2062,"branded,essential",Oseltamivir 5mg + Excipients,30033900,2157,H,GSK India
Pantoprazole 229ml,MED94801,Antidepressant,Tablet,217.23,196.65,12,0,159,31,142,3466,"prescription,generic",Pantoprazole 100mg + Excipients,30044000,8097,C,Cipla
Aspirin 294mg,MED25373,Antibiotic,Cream,215.88,190.12,28,0,126,46,297,1735,"branded,generic,essential",Aspirin 250mg + Excipients,30042000,2209,H1,GSK India
Telbivudine 252mg,MED58839,Antimalarial,Ointment,242.24,215.23,12,0,74,28,166,3400,"branded,essential,otc",Telbivudine 5mg + Excipients,30033100,9434,H1,Pfizer India
Interferon 932ml,MED64706,Antifungal,Inhaler,41.81,35.75,12,0,167,40,279,4639,branded,Interferon 10mg + Excipients,30034000,1383,H,Mankind
Interferon 754ml,MED90772,Antihypertensive,Syrup,24.91,22.16,12,0,81,25,237,3220,branded,Interferon 10mg + Excipients,30031000,4006,None,Merck India
Entecavir 568,MED45303,Vitamin,Cream,259.18,241.54,18,0,87,39,436,2317,branded,Entecavir 100mg + Excipients,30043100,7995,X,Cadila
Antacid 245mg,MED58381,Antimalarial,Injection,468.29,383.13,12,0,92,43,367,4581,branded,Antacid 500mg + Excipients,30034000,6791,None,Novartis India
Tinidazole 374mg,MED51035,Bronchodilator,Drops,344.55,321.18,5,0,70,40,102,4852,"otc,essential,generic",Tinidazole 5mg + Excipients,30034000,1079,X,Novartis India
Cabotegravir 861,MED74922,Antihistamine,Cream,339.06,293.98,5,0,160,43,189,3874,"prescription,generic",Cabotegravir 20mg + Excipients,30044000,7462,H1,Boehringer Ingelheim India
Multivitamin 437mg,MED72219,Nasal,Tablet,303.67,257.43,5,0,50,21,131,4612,"prescription,otc,essential",Multivitamin 500mg + Excipients,30031000,8603,H1,Sanofi India
Antifungal Cream 970,MED61610,Antiviral,Capsule,360.41,330.88,12,0,94,26,280,4746,generic,Antifungal 100mg + Excipients,30033900,8902,C,Dr. Reddys
Nasal Spray 452ml,MED71807,Antifungal,Gel,384.28,320.7,28,0,104,32,278,4798,"generic,essential,branded",Nasal 250mg + Excipients,30049000,5350,H1,Abbott India
Montelukast 250mg,MED94348,Otic,Drops,366.54,306.66,5,0,89,29,173,4459,branded,Montelukast 20mg + Excipients,30031000,2036,X,Cadila
Atazanavir 585ml,MED30710,Bronchodilator,Drops,449.65,393.78,5,0,178,27,292,2483,otc,Atazanavir 20mg + Excipients,30039000,6616,H1,AstraZeneca India
Atazanavir 471ml,MED89351,Vitamin,Drops,404.91,366.39,18,0,127,41,370,2723,prescription,Atazanavir 10mg + Excipients,30044000,6206,C,Cipla
Lamivudine 499,MED62383,Analgesic,Syrup,469.83,400.55,28,0,148,40,360,2178,"essential,otc",Lamivudine 250mg + Excipients,30044000,3133,C,Sun Pharma
Tramadol 667mg,MED13121,Antifungal,Cream,360.36,305.21,5,0,166,25,288,4198,otc,Tramadol 100mg + Excipients,30041000,5494,X,Boehringer Ingelheim India
Thyroxine 516mg,MED71807,Vitamin,Tablet,396.36,322.48,18,0,57,14,326,2794,branded,Thyroxine 250mg + Excipients,30044000,5068,None,Eli Lilly India
Cefixime 139,MED69337,Antimalarial,Capsule,34.38,31.92,18,0,154,22,275,1514,branded,Cefixime 500mg + Excipients,30033900,5755,H,Merck India
Elbasvir 633mg,MED66206,Sedative,Cream,97.9,82.44,28,1,79,27,203,2729,"prescription,otc,essential",Elbasvir 20mg + Excipients,30033900,5612,H1,Abbott India
Nevirapine 392,MED64632,Antiviral,Syrup,368.25,312.99,5,0,132,39,300,4386,"generic,branded",Nevirapine 5mg + Excipients,30043900,6918,None,Pfizer India
Grazoprevir 399mg,MED98548,Vitamin,Patch,201.5,189.31,28,2,159,16,201,4144,"generic,branded,essential",Grazoprevir 500mg + Excipients,30032000,2363,X,Aurobindo
Grazoprevir 454mg,MED63362,Vitamin,Patch,201.5,189.31,28,2,159,16,201,4144,"generic,branded,essential",Grazoprevir 500mg + Excipients,30032000,2363,X,Aurobindo
Atorvastatin 938mg,MED93929,Antacid,Ointment,187.57,160.11,28,0,108,49,437,1774,"branded,prescription",Atorvastatin 500mg + Excipients,30043900,7992,H,Johnson & Johnson India
Ondansetron 489,MED15458,Ophthalmic,Inhaler,111.69,104.53,18,0,124,46,423,2841,"essential,generic,otc",Ondansetron 5mg + Excipients,30031000,6256,H1,Boehringer Ingelheim India
Antiseptic 272ml,MED13350,Ophthalmic,Injection,96.49,81.12,12,0,136,45,261,1905,"branded,prescription",Antiseptic 100mg + Excipients,30049000,7558,X,Cipla
Cabotegravir 947,MED33260,Ophthalmic,Drops,441.41,399.44,18,0,128,29,171,3313,otc,Cabotegravir 10mg + Excipients,30043900,4635,H1,Merck India
Lumefantrine 682ml,MED68273,Anxiolytic,Syrup,108.88,100.05,12,0,116,22,118,3861,"otc,generic,branded",Lumefantrine 10mg + Excipients,30033900,5342,C,Aurobindo
Ivermectin 964mg,MED11873,Steroid,Injection,139.82,113.54,18,0,85,38,318,3202,prescription,Ivermectin 500mg + Excipients,30039000,8995,None,Torrent
Metronidazole 807,MED70601,Antibiotic,Ointment,76.71,69.98,5,0,135,24,345,1664,"essential,otc,branded",Metronidazole 5mg + Excipients,30041000,4971,None,Cipla
Atorvastatin 903,MED14763,Steroid,Drops,334.01,310.04,12,0,50,12,196,2615,"otc,prescription",Atorvastatin 20mg + Excipients,30044000,1728,H,Johnson & Johnson India
Albendazole 707,MED18963,Antiviral,Ointment,217.37,178.28,18,0,194,34,475,2915,branded,Albendazole 10mg + Excipients,30043100,7554,H1,Boehringer Ingelheim India
Raltegravir 373ml,MED41843,Antifungal,Tablet,192.01,159.94,28,0,160,30,240,4062,"prescription,branded,generic",Raltegravir 10mg + Excipients,30043900,2501,H1,Abbott India
Chloroquine 641ml,MED95294,Anxiolytic,Capsule,150.19,130.51,28,0,84,45,335,2360,"otc,branded",Chloroquine 10mg + Excipients,30043100,9474,X,GSK India
Antidiarrheal 272mg,MED43927,Antihistamine,Gel,368.93,327.27,5,0,173,45,499,4419,"essential,generic,prescription",Antidiarrheal 20mg + Excipients,30032000,2900,C,Sanofi India
Ibuprofen 318,MED37181,Antidepressant,Patch,167.65,146.54,18,0,180,49,279,2260,branded,Ibuprofen 5mg + Excipients,30043900,7815,None,AstraZeneca India
Laxative 160ml,MED40969,Nasal,Ointment,173.72,154.07,12,0,112,26,389,1316,otc,Laxative 500mg + Excipients,30043100,1790,H,Cadila
Dexamethasone 981mg,MED59912,Steroid,Tablet,310.39,260.7,18,0,148,28,285,1401,essential,Dexamethasone 10mg + Excipients,30031000,1835,None,Abbott India
Albendazole 432mg,MED53223,Nasal,Drops,27.13,24.0,12,0,97,16,466,2331,"otc,branded",Albendazole 250mg + Excipients,30044000,5200,X,Dr. Reddys
Lumefantrine 746,MED26383,Antidepressant,Injection,216.14,192.59,5,0,96,50,225,1794,"generic,branded",Lumefantrine 250mg + Excipients,30039000,2941,H1,Torrent
Adefovir 262mg,MED81952,Antiviral,Gel,212.21,190.6,5,0,92,35,479,2964,"essential,generic",Adefovir 500mg + Excipients,30034000,4127,None,Dr. Reddys
Domperidone 427,MED72152,Supplement,Inhaler,324.73,300.15,12,0,141,12,434,2203,otc,Domperidone 20mg + Excipients,30031000,8891,None,GSK India
Dasabuvir 125,MED69985,Antiemetic,Drops,271.48,236.83,12,0,142,49,424,3541,"prescription,essential",Dasabuvir 100mg + Excipients,30043100,9443,H1,GSK India
Ivermectin 912mg,MED94599,Laxative,Syrup,478.18,388.12,18,0,103,17,487,3108,prescription,Ivermectin 250mg + Excipients,30043900,9650,H,Sun Pharma
Metformin 126mg,MED24187,Steroid,Injection,433.98,362.07,12,0,195,21,474,4587,"generic,essential",Metformin 5mg + Excipients,30044000,1803,H,Pfizer India
Paracetamol 330ml,MED64346,Sedative,Cream,421.37,365.43,5,0,116,30,446,4576,"otc,prescription",Paracetamol 5mg + Excipients,30032000,1914,H1,Mankind
Primaquine 875mg,MED13691,Laxative,Cream,443.52,362.09,18,0,195,35,446,2037,"branded,generic,otc",Primaquine 500mg + Excipients,30049000,9032,None,Abbott India
Velpatasvir 123mg,MED77968,Bronchodilator,Injection,388.01,312.27,5,0,99,44,175,4107,"generic,prescription,otc",Velpatasvir 10mg + Excipients,30033100,6142,C,Mankind
Clonazepam 276mg,MED69206,Bronchodilator,Syrup,377.69,328.49,12,0,173,23,483,4181,prescription,Clonazepam 20mg + Excipients,30043100,8442,H1,Bayer India
Entecavir 949mg,MED50070,Bronchodilator,Gel,169.48,139.67,5,0,144,46,443,1018,"prescription,essential,otc",Entecavir 5mg + Excipients,30031000,7538,None,Bayer India
Atazanavir 866,MED58019,Antiemetic,Drops,51.44,43.89,12,0,105,19,447,2319,"otc,branded",Atazanavir 5mg + Excipients,30043100,9621,C,Abbott India
Hydrocortisone 306ml,MED53898,Nasal,Injection,75.18,62.86,28,0,68,16,463,1663,"otc,essential",Hydrocortisone 10mg + Excipients,30043100,9491,X,GSK India
Antidiarrheal 589mg,MED53819,Supplement,Inhaler,270.1,230.39,28,2,51,41,325,4490,"prescription,essential",Antidiarrheal 10mg + Excipients,30031000,6197,X,Mankind
Ombitasvir 670mg,MED68885,Antibiotic,Ointment,297.76,278.92,12,0,187,26,468,2508,essential,Ombitasvir 5mg + Excipients,30044000,2428,X,Sanofi India
Aspirin 231mg,MED10586,Vitamin,Gel,289.31,235.51,18,0,121,34,127,4973,otc,Aspirin 500mg + Excipients,30033900,4828,X,Cipla
Tramadol 383mg,MED94281,Antimalarial,Ointment,355.69,294.02,28,1,79,20,253,3157,"branded,otc",Tramadol 20mg + Excipients,30043900,8921,C,Cipla
Multivitamin 357mg,MED60910,Anxiolytic,Injection,391.41,367.82,12,0,149,32,197,2498,"essential,prescription",Multivitamin 500mg + Excipients,30044000,4393,None,Alkem
Cetirizine 164ml,MED75764,Laxative,Ointment,317.92,255.9,18,0,124,23,481,4066,generic,Cetirizine 500mg + Excipients,30049000,5118,H,Aurobindo
Zalcitabine 356ml,MED73249,Antihypertensive,Injection,122.15,109.28,28,0,93,37,150,2515,generic,Zalcitabine 250mg + Excipients,30039000,2452,C,AstraZeneca India
Metronidazole 968ml,MED90703,Supplement,Capsule,23.91,22.4,18,0,200,35,198,1825,"branded,generic",Metronidazole 250mg + Excipients,30033100,5741,H,Sanofi India
Omeprazole 337ml,MED57614,Supplement,Injection,105.77,95.84,28,1,92,34,231,4615,branded,Omeprazole 5mg + Excipients,30031000,1231,None,Dr. Reddys
Ear Drops 452,MED86326,Laxative,Inhaler,436.91,412.39,5,0,142,11,313,3620,otc,Ear 5mg + Excipients,30043100,7275,C,Sun Pharma
Alprazolam 189ml,MED66025,Sedative,Inhaler,435.93,375.93,18,0,51,18,131,2508,otc,Alprazolam 5mg + Excipients,30033900,9486,C,Johnson & Johnson India
Fluoxetine 390ml,MED94228,Antimalarial,Ointment,180.1,162.75,28,0,189,27,126,1142,essential,Fluoxetine 10mg + Excipients,30043900,5661,None,Aurobindo
Glecaprevir 536,MED65519,Sedative,Injection,175.02,163.16,5,0,68,15,497,3488,"prescription,branded,generic",Glecaprevir 100mg + Excipients,30031000,8047,None,Novartis India
Laxative 501mg,MED39935,Otic,Ointment,286.08,230.2,12,0,113,10,141,2228,"generic,essential,branded",Laxative 100mg + Excipients,30044000,1449,None,Pfizer India
Grazoprevir 454mg,MED26916,Vitamin,Patch,361.21,334.62,28,1,113,31,377,2831,"generic,branded,essential",Grazoprevir 10mg + Excipients,30039000,8667,H,Aurobindo
Eye Drops 748mg,MED54269,Vitamin,Capsule,56.73,47.05,5,0,132,21,207,4122,"otc,essential,branded",Eye 100mg + Excipients,30039000,3588,None,Novartis India
Ombitasvir 662ml,MED37762,Antihistamine,Gel,207.88,172.12,5,0,124,19,390,2522,"prescription,generic",Ombitasvir 100mg + Excipients,30041000,6740,H1,Sanofi India
Erythromycin 379,MED23350,Antiparasitic,Drops,449.87,400.58,18,0,53,10,112,2644,"branded,otc,prescription",Erythromycin 10mg + Excipients,30039000,6436,X,Boehringer Ingelheim India
Cefuroxime 242ml,MED26212,Supplement,Patch,467.63,392.57,5,0,73,10,328,4986,prescription,Cefuroxime 5mg + Excipients,30044000,4864,H1,Sun Pharma
Ciprofloxacin 105mg,MED62861,Antidepressant,Capsule,25.34,21.69,5,0,94,40,103,2794,"generic,essential,branded",Ciprofloxacin 100mg + Excipients,30044000,2077,None,Pfizer India
Antiseptic 621,MED68892,Ophthalmic,Patch,281.6,229.29,5,0,77,11,310,2038,"essential,generic,otc",Antiseptic 20mg + Excipients,30044000,4573,H1,Merck India
Bictegravir 370,MED45568,Supplement,Gel,399.31,351.03,28,1,153,11,482,2358,essential,Bictegravir 20mg + Excipients,30049000,4456,H,Cadila
Salbutamol 746,MED72952,Supplement,Tablet,40.11,32.33,18,0,132,48,175,4336,"branded,prescription,otc",Salbutamol 5mg + Excipients,30049000,8346,C,Cadila
Interferon 121,MED25122,Antihistamine,Syrup,349.38,287.08,18,0,191,40,351,3907,"essential,branded,otc",Interferon 100mg + Excipients,30041000,4662,X,Novartis India
Antifungal Cream 390,MED41817,Laxative,Injection,88.91,75.97,5,0,176,39,404,4858,essential,Antifungal 20mg + Excipients,30049000,2716,None,Pfizer India
Raltegravir 260ml,MED67105,Antifungal,Tablet,213.07,199.21,28,0,62,18,186,4667,"prescription,branded",Raltegravir 250mg + Excipients,30033100,3637,H1,AstraZeneca India
Naproxen 565mg,MED37872,Antidepressant,Ointment,332.83,315.81,12,0,129,28,335,2317,"prescription,generic",Naproxen 100mg + Excipients,30042000,4748,None,Cipla
Mebendazole 980mg,MED64476,Antifungal,Capsule,270.32,238.84,28,2,86,11,144,3679,branded,Mebendazole 100mg + Excipients,30032000,8779,C,Mankind
Atorvastatin 534mg,MED21700,Antacid,Cream,245.7,227.19,28,0,168,22,158,3212,prescription,Atorvastatin 500mg + Excipients,30044000,9133,H,Lupin
Montelukast 239ml,MED66278,Anxiolytic,Injection,20.64,19.33,5,0,135,11,234,3931,"essential,prescription,generic",Montelukast 250mg + Excipients,30043100,9207,None,Pfizer India
Hydroxychloroquine 621mg,MED61534,Bronchodilator,Injection,358.09,322.71,5,0,178,20,296,1417,"branded,otc",Hydroxychloroquine 20mg + Excipients,30044000,5784,None,GSK India
Paracetamol 652mg,MED58621,Antiparasitic,Injection,208.62,188.18,5,0,109,43,407,1246,"generic,essential,prescription",Paracetamol 250mg + Excipients,30039000,5121,C,AstraZeneca India
Levocetirizine 397,MED88603,Vitamin,Ointment,430.06,385.54,5,0,114,31,116,2755,"generic,branded,otc",Levocetirizine 20mg + Excipients,30041000,1063,H1,GSK India
Velpatasvir 895ml,MED90162,Antifungal,Patch,443.42,398.29,28,2,93,40,227,4584,"otc,branded,generic",Velpatasvir 20mg + Excipients,30039000,3416,C,Johnson & Johnson India
Primaquine 827,MED24464,Nasal,Tablet,286.0,233.68,5,0,169,31,191,1283,branded,Primaquine 5mg + Excipients,30039000,7549,X,Merck India
Zanamivir 292ml,MED12728,Antidiabetic,Gel,481.98,455.43,5,0,130,21,331,2917,"generic,branded",Zanamivir 5mg + Excipients,30042000,5641,X,AstraZeneca India
Lamivudine 418,MED19067,Antiviral,Syrup,375.78,323.33,28,0,93,32,420,3672,"generic,branded",Lamivudine 100mg + Excipients,30044000,1996,None,Johnson & Johnson India
Ombitasvir 178ml,MED65648,Analgesic,Syrup,228.16,197.45,5,0,75,32,329,4999,otc,Ombitasvir 250mg + Excipients,30031000,3796,C,Novartis India
Aspirin 844ml,MED48949,Steroid,Cream,393.89,342.6,28,0,146,16,101,3482,"generic,essential",Aspirin 250mg + Excipients,30039000,4930,C,Sun Pharma
Amlodipine 692ml,MED95086,Antiviral,Injection,374.58,349.08,5,0,117,26,111,3667,"prescription,essential,branded",Amlodipine 10mg + Excipients,30032000,8223,H1,Sanofi India
Tramadol 353mg,MED73475,Steroid,Drops,257.77,216.53,28,2,166,13,439,2817,"branded,essential",Tramadol 250mg + Excipients,30041000,9165,X,Eli Lilly India
Cough Syrup 739ml,MED52722,Vitamin,Drops,402.12,337.1,5,0,118,37,235,1913,"branded,otc,generic",Cough 100mg + Excipients,30033100,8773,None,Alkem
Emtricitabine 476,MED85269,Antiviral,Injection,94.07,86.11,18,0,157,12,325,1919,"otc,prescription,essential",Emtricitabine 10mg + Excipients,30041000,6091,None,Sanofi India
Antidiarrheal 654mg,MED27905,Antidiabetic,Syrup,94.86,80.57,18,0,65,24,251,2186,"prescription,branded,otc",Antidiarrheal 20mg + Excipients,30033900,7742,X,Sun Pharma
Paracetamol 509mg,MED52563,Supplement,Syrup,136.46,116.52,18,0,137,50,442,1030,"prescription,otc,generic",Paracetamol 500mg + Excipients,30039000,4607,None,AstraZeneca India
Aceclofenac 394mg,MED64090,Antacid,Injection,71.93,66.23,12,0,160,17,484,1181,"generic,prescription,branded",Aceclofenac 10mg + Excipients,30039000,6436,C,Johnson & Johnson India
Aceclofenac 151ml,MED81805,Anxiolytic,Gel,462.04,419.45,12,0,192,21,355,2025,essential,Aceclofenac 20mg + Excipients,30043900,3322,H,Bayer India
Voxilaprevir 109,MED27412,Nasal,Patch,338.88,287.75,5,0,128,44,425,2465,"essential,prescription",Voxilaprevir 20mg + Excipients,30031000,2814,H,Alkem
Paritaprevir 454mg,MED26900,Vitamin,Inhaler,174.59,159.81,12,0,164,34,353,4761,essential,Paritaprevir 10mg + Excipients,30042000,1593,C,Merck India
Nasal Spray 853,MED31851,Nasal,Gel,247.66,225.19,12,0,187,23,397,3215,"generic,otc,prescription",Nasal 5mg + Excipients,30043900,5600,None,Mankind
Losartan 830,MED47588,Laxative,Capsule,477.75,389.83,5,0,121,46,438,1308,"essential,generic",Losartan 5mg + Excipients,30042000,6910,X,Alkem
Eye Drops 808,MED85504,Analgesic,Syrup,331.01,290.58,18,0,179,21,196,3971,prescription,Eye 20mg + Excipients,30044000,9706,C,Bayer India
Paritaprevir 164ml,MED61291,Vitamin,Capsule,366.36,338.33,28,2,120,14,155,4812,"essential,prescription",Paritaprevir 500mg + Excipients,30033100,1694,X,Johnson & Johnson India
